id,section_title,book
Shamela0010710Sec0,### | التنازع والتخاصم فيما بين بني امية وبني هاشم ,0845Maqrizi.BanuUmayyaBanuHashim
Shamela0010710Sec1,### | تجريد التوحيد المفيد,0845Maqrizi.TajridTawhid
Shamela0010710Sec2,### | البيان والاعراب عمن في ارض مصر من قباءل الاعراب,0845Maqrizi.BayanAcrab
Shamela0010710Sec3,### | النقود القديمة الاسلامية,0845Maqrizi.NuqudQadima
Shamela0010710Sec4,### | معرفة ما يجب لال البيت النبوي من الحق علي من عداهم,0845Maqrizi.BaytNabawi
Shamela0010710Sec5,### | المقاصد السنية في معرفة الاجسام المعدنية,0845Maqrizi.MaqasidSunnia
Shamela0010710Sec6,### | الالمام باخبار من بارض الحبشة من ملوك الاسلام,0845Maqrizi.ArdHabasha
Shamela0010710Sec7,### | حرص النفوس الفاضلة علي بقاء الذكر,0845Maqrizi.BaqaDhikr
Shamela0010710Sec8,### | حصول الإنعام والمير فى سؤال خاتمة الخير,0845Maqrizi.HusulAnam
Shamela0010710Sec10,### | نحل عبر النحل,0845Maqrizi.Nahl
