Cluster,Ms_count,Book_count,diff
5,911464,4960,906504
50550,256,118,138
126024,120,77,43
21935,927,208,719
147846,171,125,46
49586,218,112,106
1995,555,183,372
64017,444,144,300
8590080283,109,46,63
47236,126,87,39
37395,209,93,116
118796,129,75,54
7135,2967,381,2586
106942,189,113,76
72923,144,48,96
79208,193,34,159
27249,253,58,195
233884,147,103,44
265533,130,32,98
33112,128,56,72
21198,126,88,38
76607,196,168,28
29237,157,80,77
33794,207,40,167
402759,124,86,38
3064,122,81,41
259132,105,79,26
55109,108,77,31
30470,207,54,153
158905,124,29,95
210216,146,92,54
221347,227,112,115
304140,325,80,245
171992,181,44,137
40533,157,4,153
78382,102,60,42
277833,201,98,103
32097,190,91,99
206849,189,17,172
364625,165,103,62
13617,216,105,111
123413,165,118,47
8589994814,112,97,15
183972,156,99,57
5546,603,155,448
414226,117,32,85
45972,118,38,80
52035,183,50,133
209740,109,73,36
301204,101,41,60
91323,143,88,55
100700,106,71,35
29313,123,23,100
10325,617,187,430
12413,102,87,15
189499,173,79,94
30363,121,79,42
13186,473,173,300
20157,269,119,150
142834,180,135,45
15884,102,76,26
104680,119,54,65
17314,125,42,83
107365,112,68,44
61777,125,71,54
39968,257,122,135
65371,415,146,269
232899,234,68,166
17179882850,139,111,28
10950,255,99,156
94237,168,123,45
99826,104,78,26
186946,148,96,52
76093,132,98,34
28634,279,169,110
51826,136,18,118
37424,248,104,144
23275,425,160,265
10294,143,76,67
51877,106,68,38
27677,313,73,240
31199,204,114,90
13484,311,178,133
342690,105,40,65
76897,118,108,10
295243,131,93,38
274336,108,67,41
81536,176,80,96
31223,254,36,218
19109,245,152,93
9655,148,101,47
190107,271,87,184
64730,201,139,62
266447,142,43,99
382731,156,84,72
10324,116,92,24
205800,122,81,41
2825,152,85,67
17481,168,106,62
15729,148,71,77
12416,115,31,84
110078,122,74,48
383580,133,78,55
7498,253,144,109
42363,255,127,128
15380,329,162,167
8589994211,142,82,60
1071,111,35,76
229,235,42,193
35874,122,76,46
128734,149,81,68
38912,212,80,132
243871,111,2,109
102752,253,111,142
150608,162,97,65
169007,119,22,97
74507,127,66,61
8589950199,147,43,104
8388,330,140,190
32502,278,111,167
9761,131,38,93
17756,142,96,46
8589944472,124,62,62
97701,111,90,21
92785,126,52,74
30992,102,21,81
51986,171,91,80
95810,135,48,87
5401,1038,270,768
23675,650,161,489
334066,110,64,46
171135,219,143,76
17597,234,101,133
20209,320,144,176
55553,111,100,11
142034,109,80,29
210076,112,59,53
56204,387,194,193
27782,221,113,108
104132,335,64,271
101345,101,48,53
20873,178,61,117
31747,108,32,76
20141,122,24,98
239670,126,67,59
109493,104,38,66
1969,202,132,70
67389,493,157,336
51884,114,81,33
139800,285,105,180
71834,127,67,60
130308,194,67,127
196772,141,113,28
6983,202,105,97
162946,133,94,39
5007,129,101,28
1221,207,34,173
8590133703,102,78,24
117895,119,81,38
19966,338,135,203
86204,254,126,128
51567,160,108,52
11506,489,65,424
132419,167,32,135
5466,108,85,23
92262,271,177,94
366469,300,52,248
85848,267,106,161
133148,115,69,46
188384,104,79,25
35548,271,103,168
359729,106,45,61
32213,135,74,61
40698,302,118,184
29732,136,63,73
72361,135,49,86
37790,145,57,88
125182,127,48,79
39170,373,180,193
25032,199,119,80
6795,370,57,313
60532,120,49,71
421699,155,82,73
8590284905,109,79,30
138103,261,137,124
159049,107,28,79
43197,166,78,88
8589966251,260,104,156
25738,112,81,31
683,125,24,101
48333,139,75,64
65591,101,61,40
25221,239,8,231
30841,234,129,105
55592,156,123,33
45168,175,90,85
252260,171,62,109
8590320769,106,82,24
106750,147,112,35
47021,140,99,41
30472,179,76,103
62535,192,123,69
8590003023,107,26,81
26111,183,69,114
191950,137,85,52
237533,186,124,62
8590007899,126,65,61
172390,114,95,19
41160,127,95,32
58387,146,2,144
284960,110,60,50
56258,144,94,50
118312,181,139,42
17336,156,94,62
19280,223,30,193
4902,149,56,93
87488,137,94,43
86797,109,44,65
187113,225,84,141
197779,119,89,30
216286,132,94,38
310365,116,49,67
186194,107,49,58
167747,171,137,34
106342,220,40,180
50939,159,94,65
26866,143,67,76
72840,171,80,91
292101,109,73,36
97248,167,20,147
249695,107,69,38
314186,238,172,66
6243,110,78,32
8589969016,104,79,25
19579,116,15,101
24523,270,27,243
85442,103,77,26
5391,137,40,97
338129,130,87,43
31643,256,137,119
172597,129,67,62
209765,102,58,44
77890,175,83,92
11944,242,135,107
91138,121,66,55
186826,160,76,84
308802,141,141,0
73749,304,153,151
144055,323,149,174
25444,139,33,106
329994,131,86,45
57074,199,77,122
68368,193,102,91
246693,111,96,15
105880,114,49,65
142006,142,70,72
42930,120,68,52
109010,126,107,19
142801,115,18,97
8590134817,113,27,86
160781,121,93,28
215903,101,47,54
248808,160,31,129
90750,156,92,64
282741,124,48,76
32625,189,32,157
110660,126,79,47
5087,174,98,76
17179922255,118,77,41
259692,122,61,61
25699,163,82,81
28572,110,51,59
244729,171,107,64
12876,104,54,50
74118,106,74,32
162171,129,30,99
129325,101,77,24
8589987887,101,44,57
18691,153,94,59
10974,249,110,139
3479,162,92,70
63033,116,73,43
153602,102,67,35
8590145188,102,29,73
397400,111,36,75
8590338546,105,44,61
44276,149,44,105
137160,121,81,40
121525,345,105,240
122685,193,132,61
239469,140,89,51
112141,126,46,80
8590013505,101,7,94
3459,171,117,54
380848,142,95,47
162474,107,65,42
1915,124,95,29
8590016102,170,111,59
122854,124,95,29
109359,112,77,35
54897,172,64,108
54578,140,90,50
111875,101,70,31
365424,114,67,47
8589965643,104,74,30
210148,109,72,37
18101,119,70,49
10338,110,69,41
99926,121,84,37
108820,155,124,31
95541,116,60,56
211453,123,68,55
202843,111,56,55
50376,134,102,32
53123,204,99,105
5039,113,63,50
9755,155,107,48
8732,155,90,65
396433,178,104,74
17704,141,71,70
9862,115,74,41
30354,103,37,66
254049,104,64,40
138768,124,88,36
64229,108,57,51
9232,110,57,53
19230,120,81,39
216984,115,80,35
123891,108,93,15
131920,121,86,35
216515,122,78,44
51149,103,44,59
288733,120,75,45
103384,230,46,184
128714,213,46,167
53170,132,82,50
150738,114,60,54
341036,107,31,76
2855,192,105,87
13992,109,91,18
10748,111,96,15
73726,166,40,126
15888,107,69,38
81956,112,79,33
147840,117,36,81
50290,135,68,67
