,section,st_pos,mid_pos,Topic_id
0,1,0,1046.0,None
1,2,2092,3343.0,None
2,3,4594,4910.0,None
3,4,5226,5470.0,@PREIS@
4,5,5714,5897.5,None
5,6,6081,6864.5,@PREIS@
6,7,7648,7866.0,@PREIS@
7,8,8084,8372.0,@PREIS@
8,9,8660,8841.5,@EARIS@
9,10,9023,9328.0,@IKH@
10,11,9633,10879.0,@IKH@
11,12,12125,14034.5,@FAT@
12,13,15944,19157.5,@FAT@
13,14,22371,24287.0,None
14,15,26203,26678.0,@FAT@
15,16,27153,27417.5,@FAT@
16,17,27682,27978.5,@FAT@
17,18,28275,30067.5,@AYY@
18,19,31860,36118.5,@AYY@
19,20,40377,40791.0,@MAM@
20,21,41205,41729.0,@MAM@
21,22,42253,53693.0,@MAM@
22,23,65133,70314.5,None
23,24,75496,77747.5,None
24,25,79999,82134.0,None
25,26,84269,85310.5,None
26,27,86352,89596.0,None
